"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"ThickFur","Thick Fur","Pelo Spesso","Gruba sierść","Piel Gruesa","Dickes Fell","Pelo Espesso","Fourrure Épaisse","厚い毛皮","Густая шерсть","Kalın Kürk","فراء ثخين","Hustá srst","ขนหนา","Bulu Tebal","Dikke Vacht","Lông Dày","두꺼운 털","厚毛皮","厚毛皮","Storas kailis","Густе хутро","Bieza spalva","मोटी खाल","Πυκνή Γούνα","Pelo Espesso"
"ThickFur_Description","Each upgrade lowers the effect of cold by 10%","Ogni potenziamento riduce l'effetto del freddo del 10%","Każdy poziom zmniejsza efekt zimna o 10%","Cada mejora reduce el efecto del frío en un 10%","Jedes Levelup reduziert den Kälteeffekt um 10%","Cada nível reduz o efeito do frio em 10%","Chaque niveau réduit l'effet du froid de 10%","各レベルアップで寒さの影響を10％軽減","Каждый уровень снижает эффект холода на 10%","Her seviye soğuğun etkisini %10 azaltır","كل مستوى يقلل من تأثير البرد بنسبة 10%","Každý level snižuje efekt chladu o 10%","ทุกเลเวลจะลดผลของความหนาวลง 10%","Setiap level mengurangi efek dingin sebesar 10%","Elk niveau vermindert het koude-effect met 10%","Mỗi cấp độ giảm hiệu ứng của lạnh xuống 10%","레벨업마다 추위의 영향을 10% 줄입니다","每级降低寒冷效果10%","每級降低寒冷效果10%","Kiekvienas lygis sumažina šalčio efektą 10%","Кожний рівень зменшує ефект холоду на 10%","Katrs līmenis samazina aukstuma efektu par 10%","हर स्तर से ठंड का प्रभाव 10% कम करता है","Κάθε επίπεδο μειώνει το αποτέλεσμα του κρύου κατά 10%","Cada nível reduz o efeito do frio em 10%"
"Upgrade","Upgrade","Migliora","Ulepsz","Mejora","Aufrüsten","Melhorar","Améliorer","アップグレード","Улучшение","Yükseltme","ترقية","Vylepšení","อัพเกรด","Peningkatan","Opwaarderen","Nâng cấp","업그레이드","升级","升級","Patobulinimas","Покращення","Uzlabot","अपग्रेड","Αναβάθμιση","Melhorar"
"WheelBarrow_Description","Adds wheelbarrows - useful for carrying multiple things at once","Aggiunge carriole - utili per trasportare più oggetti contemporaneamente","Dodaje taczki - przydatne do noszenia wielu rzeczy naraz","Añade carretillas - útiles para llevar varias cosas a la vez","Fügt Schubkarren hinzu - nützlich, um mehrere Dinge auf einmal zu tragen","Adiciona carrinhos de mão - úteis para carregar várias coisas de uma vez","Ajoute des brouettes - utiles pour transporter plusieurs choses à la fois","手押し車を追加 - 一度に複数のものを運ぶのに便利","Добавляет тачки - полезно для переноски нескольких вещей за раз","El arabaları ekler - bir seferde birden fazla şey taşımak için kullanışlı","يضيف عربات اليد - مفيدة لحمل عدة أشياء في آن واحد","Přidává tačky - užitečné pro přenášení více věcí najednou","เพิ่มรถเข็น - มีประโยชน์สำหรับการหายของหลายอย่างในคราวเดียว","Menambahkan gerobak - berguna untuk membawa banyak benda sekaligus","Voegt kruiwagens toe - handig voor het dragen van meerdere dingen tegelijk","Thêm xe cút kít - hữu ích để mang theo nhiều thứ cùng lúc","수레를 추가 - 한 번에 여러 가지를 옮기기에 유용","添加手推车 - 用于一次携带多件物品","添加手推車 - 用於一次攜帶多件物品","Prideda vežimėlius - naudinga nešti keletą daiktų iš karto","Додає тачки - корисно для перенесення кількох речей за раз","Pievieno rokas ratus - noderīgi, lai vienlaicīgi nestu vairākas lietas","एक साथ कई चीजें ले जाने के लिए उपयोगी - हाथगाड़ि जोड़ता है","Προσθέτει τσαπιά - χρήσιμα για τη μεταφορά πολλαπλών αντικειμένων ταυτόχρονα","Adiciona carrinhos de mão - úteis para carregar várias coisas de uma vez"
"YoureDashing_Description","Reduces jump cooldown","Riduce il tempo di recupero del salto","Zmniejsza czas odnowienia skoku","Reduce el tiempo de reutilización del salto","Verringert die Sprung-Abklingzeit","Reduz o tempo de recarga do salto","Réduit le temps de récupération du saut","ジャンプのクールダウンを短縮","Уменьшает время перезарядки прыжка","Zıplama soğuma süresini azaltır","يقلل من وقت التبريد للقفز","Sníží dobu obnovení skoku","ลดเวลาหยุดของการกระโดด","Mengurangi waktu pendinginan lompat","Verlaagt de afkoeltijd van springen","Giảm thời gian hồi phục nhảy","점프 쿨다운을 줄입니다","减少跳跃冷却时间","減少跳躍冷卻時間","Mažina šuolio atsistatymo laiką","Зменшує час перезарядки стрибка","Samazina lēcienu atveseļošanās laiku","कूदने के ठंडाने का समय कम करता है","Μειώνει τον χρόνο ψύξης του άλματος","Reduz o tempo de recarga do salto"
"AbilityNone_Description","No ability selected - allows you to attack","Nessuna abilità selezionata - ti permette di attaccare","Nie wybrano zdolności - pozwala atakować","No se ha seleccionado ninguna habilidad - te permite atacar","Keine Fähigkeit ausgewählt - ermöglicht es dir anzugreifen","Nenhuma habilidade selecionada - permite atacar","Aucune capacité sélectionnée - vous permet d'attaquer","能力未選択 - 攻撃可能","Никакая способность не выбрана - позволяет атаковать","Yetenek seçilmedi - saldırmana izin verir","لم يتم تحديد أي قدرة - يسمح لك بالهجوم","Nevybrána žádná schopnost - umožňuje útok","ไม่ได้เลือกความสามารถใดๆ - ช่วยให้คุณสามารถโจมตีได้","Tidak ada kemampuan yang dipilih - memungkinkan Anda untuk menyerang","Geen vaardigheid geselecteerd - stelt je in staat om aan te vallen","Không có kỹ năng nào được chọn - cho phép bạn tấn công","능력 없음 - 공격할 수 있음","未选择能力 - 允许你攻击","未選擇能力 - 允許你攻擊","Nėra pasirinkto sugebėjimo - leidžia puolimas","Немає вибраної здібності - дозволяє атакувати","Nav izvēlētas spējas - ļauj uzbrukt","कोई क्षमता नहीं चुनी गई - आपको हमला करने की अनुमति देता है","Δεν έχει επιλεγεί δυνατότητα - σου επιτρέπει να επιτεθείς","Nenhuma habilidade selecionada - permite atacar"
"AbilityNone_Name","Nothing","Niente","Nic","Nada","Nichts","Nada","Rien","なし","Ничего","Hiçbir şey","لا شيء","Nic","ไม่มี","Tidak ada","Niets","Không có gì","없음","无","無","Nieko","Нічого","Nekas","कुछ नहीं","Τίποτα","Nada"
"AbilityParanormalActivity_Description","Applies a movement speed buff for players around you.","Applica un bonus di velocità di movimento ai giocatori intorno a te.","Zastosowuje buff prędkości ruchu dla graczy wokół ciebie.","Aplica un aumento de velocidad de movimiento para los jugadores a tu alrededor.","Gewährt einen Geschwindigkeitsbonus für Spieler in deiner Umgebung.","Aplica um bônus de velocidade de movimento para jogadores ao seu redor.","Applique un bonus de vitesse de déplacement pour les joueurs autour de vous.","周りのプレイヤーに移動速度のバフを適用します。","Применяет бафф скорости передвижения для игроков вокруг вас.","Etrafındaki oyuncular için hareket hızı artışı uygular.","يطبق تسريع سرعة الحركة للاعبين من حولك.","Uděluje bonus k rychlosti pohybu hráčům kolem tebe.","ให้ผลเสริมความเร็วในการเคลื่อนที่สำหรับผู้เล่นรอบข้างคุณ","Memberikan tambahan kecepatan gerak bagi pemain di sekitarmu.","Verleent een snelheidsbuff voor spelers om je heen.","Tăng tốc độ di chuyển cho người chơi xung quanh bạn.","주변 플레이어에게 이동 속도 버프를 적용합니다.","为你周围的玩家提供移动速度增益。","為你周圍的玩家提供移動速度增益。","Suteikia judėjimo greičio pranašumą jums aplinkui esantiems žaidėjams.","Застосовує бонус до швидкості руху для гравців навколо вас.","Piemēro kustības ātruma bonuss spēlētājiem ap tevi.","आपके आसपास के खिलाड़ियों के लिए गति बढ़ाने वाला लाभ प्रदान करता है।","Εφαρμόζει έναν ενισχυτή ταχύτητας κίνησης για τους παίκτες γύρω σου.","Aplica um bônus de velocidade de movimento para os jogadores ao seu redor."
"AbilityParanormalActivity_Name","Paranormal Activity","Attività Paranormale","Działalność Paranormalna","Actividad Paranormal","Paranormale Aktivität","Atividade Paranormal","Activité Paranormale","パラノーマルアクティビティ","Паранормальная Активность","Paranormal Aktivite","نشاط خارق","Paranormální Aktivita","กิจกรรมพารานอร์มอล","Aktivitas Paranormal","Paranormale Activiteit","Hoạt Động Siêu Nhiên","파라노말 액티비티","超自然活动","超自然活動","Paranormali Veikla","Паранормальна Активність","Paranormāla Aktivitāte","पैरानॉर्मल गतिविधि","Παραφυσική Δραστηριότητα","Atividade Paranormal"
"AbilityRagdollPull_Description","Pulls nearest corpse towards you.","Attrae verso di te il cadavere più vicino.","Przyciąga najbliższe zwłoki do ciebie.","Atrae hacia ti el cadáver más cercano.","Zieht die nächste Leiche zu dir.","Atrai o cadáver mais próximo para perto de ti.","Attire le cadavre le plus proche vers vous.","最も近い死体をあなたに引き寄せます。","Притягивает ближайший труп к вам.","En yakın cesedi sana çeker.","يجذب الجثة الأقرب إليك.","Přitahuje nejbližší mrtvolu k tobě.","ดึงศพที่ใกล้ที่สุดมาหาคุณ","Menarik mayat terdekat ke arah Anda.","Trekt het dichtstbijzijnde lijk naar je toe.","Kéo xác chết gần nhất về phía bạn.","당신에게 가장 가까운 시체를 당깁니다.","将最近的尸体拉向你。","將最近的屍體拉向你。","Traukia artimiausią lavoną link savęs.","Притягує найближчий труп до вас.","Vilina pretī tev tuvāko līķi.","आपकी तरफ सबसे नजदीकी लाश को खींचता है।","Τραβάει το πλησιέστερο πτώμα προς εσένα.","Atrai para si o cadáver mais próximo."
"AbilityRagdollPull_Name","Corpse Tendrils","Tentacoli del Cadavere","Macki Zwłok","Tentáculos de Cadáver","Leichenranken","Tentáculos de Cadáver","Tentacules de Cadavre","死体の触手","Трупные Щупальца","Ceset Sarmalları","أشباه الأطراف الجثة","Mrtvolné Chapadla","เถาวัลย์ศพ","Tentakel Mayat","Lijkenranken","Xúc tu của xác chết","시체의 촉수","尸体触须","屍體觸手","Lavono Šaknys","Трупні Віття","Līķa Cilpi","लाश की बेलें","Πτώμα Πλοκάμια","Gavinhas de Cadáver"
"AbilityRevealIdentity_Description","Reveals the corpse's role to all players","Rivela il ruolo del cadavere a tutti i giocatori","Ujawnia rolę zwłok wszystkim graczom","Revela el papel del cadáver a todos los jugadores","Enthüllt die Rolle der Leiche allen Spielern","Revela o papel do cadáver a todos os jogadores","Révèle le rôle du cadavre à tous les joueurs","死体の役割を全プレイヤーに明かす","Раскрывает роль трупа всем игрокам","Cesedin rolünü tüm oyunculara gösterir","يكشف دور الجثة لجميع اللاعبين","Odhaluje roli mrtvoly všem hráčům","เปิดเผยบทบาทของศพให้ผู้เล่นทุกคนทราบ","Mengungkap peran mayat kepada semua pemain","Onthult de rol van het lijk aan alle spelers","Tiết lộ vai trò của xác chết cho tất cả người chơi","시체의 역할을 모든 플레이어에게 공개합니다","向所有玩家显示尸体的角色","向所有玩家顯示屍體的角色","Atidengia lavono vaidmenį visiems žaidėjams","Розкриває роль трупа всім гравцям","Atklāj līķa lomu visiem spēlētājiem","लाश की भूमिका सभी खिलाड़ियों को प्रकट करता है","Αποκαλύπτει το ρόλο του πτώματος σε όλους τους παίκτες","Revela o papel do cadáver para todos os jogadores"
"AbilityRevealIdentity_Name","Reveal Identity","Rivelare Identità","Ujawnij Tożsamość","Revelar Identidad","Identität Enthüllen","Revelar Identidade","Révéler Identité","アイデンティティを明かす","Раскрыть Идентичность","Kimliği Açığa Çıkar","كشف الهوية","Odhalit Identitu","เปิดเผยตัวตน","Mengungkap Identitas","Identiteit Onthullen","Tiết lộ Danh Tính","정체를 밝히다","揭示身份","揭示身分","Atskleisti Tapatybę","Виявити Ідентичність","Atklāt Identitāti","पहचान उजागर करना","Αποκάλυψη Ταυτότητας","Revelar Identidade"
"AbilityWitchcraft_Description","Traitor only item - Use dark magic to bring yourself back to life","Oggetto esclusivo per il traditore - Usa la magia nera per tornare in vita","Przedmiot tylko dla zdrajcy - Użyj czarnej magii, aby przywrócić siebie do życia","Artículo solo para traidores - Usa magia oscura para revivirte","Nur für Verräter - Benutze schwarze Magie, um dich wiederzubeleben","Item exclusivo para traidores - Use magia negra para se ressuscitar","Objet réservé aux traîtres - Utilisez la magie noire pour vous ressusciter","裏切り者のみのアイテム - 黒魔術を使って自分自身を蘇生させる","Предмет только для предателя - Используйте черную магию, чтобы воскресить себя","Hainler için özel eşya - Kendini hayata döndürmek için kara büyü kullan","عنصر خاص بالخونة - استخدم السحر الأسود لإعادة نفسك إلى الحياة","Předmět pouze pro zrádce - Použijte černou magii k oživení sebe sama","รายการสำหรับผู้ทรยศเท่านั้น - ใช้เวทมนตร์ดำเพื่อให้ตัวเองกลับมามีชีวิต","Item khusus pengkhianat - Gunakan sihir gelap untuk menghidupkan diri sendiri kembali","Alleen voor verraders - Gebruik zwarte magie om jezelf weer tot leven te wekken","Chỉ dành cho kẻ phản bội - Sử dụng ma thuật đen để hồi sinh bản thân","배신자만의 아이템 - 어둠의 마법을 사용하여 자신을 다시 살립니다","仅限叛徒使用 - 使用黑魔法让自己复活。","僅限叛徒使用 - 使用黑魔法讓自己復活。","Išdavikams skirtas daiktas - Naudokite tamsiąją magiją, kad atgaivintumėte save","Тільки для зрадників - Використовуйте чорну магію, щоб воскресити себе","Vienīgi nodevējiem - Izmantojiet tumsas maģiju, lai atdzīvinātu sevi","केवल विश्वासघातियों के लिए - खुद को जीवित करने के लिए काला जादू का उपयोग करें","Μόνο για προδότες - Χρησιμοποιήστε την σκοτεινή μαγεία για να επανέλθετε στη ζωή","Item exclusivo para traidores - Use magia negra para se trazer de volta à vida"
"AbilityWitchcraft_Name","Witchcraft","Stregoneria","Czarnoksięstwo","Brujería","Hexenkunst","Feitiçaria","Sorcellerie","魔法","Колдовство","Büyücülük","السحر","Čarodějnice","มนตรา","Sihir","Hekserij","Phép thuật","마법","巫术","巫術","Raganystė","Чаклунство","Burvība","जादूटोना","Μαγεία","Bruxaria"
"Hatchet_Description","Slick design allows for fast attacks","Il design agile consente attacchi rapidi","Smukła konstrukcja umożliwia szybkie ataki","El diseño elegante permite ataques rápidos","Das schlanke Design ermöglicht schnelle Angriffe","Design aerodinâmico permite ataques rápidos","La conception élégante permet des attaques rapides","スリックなデザインで素早い攻撃が可能","Удобный дизайн обеспечивает быстрые атаки","Zarif tasarım hızlı saldırılara olanak tanır","التصميم الأنيق يسمح بالهجمات السريعة","Propracovaný design umožňuje rychlé útoky","การออกแบบที่ชาญฉลาดช่วยให้โจมตีได้เร็ว","Desain yang ramping memungkinkan serangan cepat","Strak ontwerp maakt snelle aanvallen mogelijk","Thiết kế gọn nhẹ cho phép tấn công nhanh","날렵한 디자인으로 빠른 공격이 가능","设计巧妙，允许快速攻击","設計巧妙，允許快速攻擊","Patogus dizainas užtikrina greitus puolimus","Зручний дизайн забезпечує швидкі атаки","Ērts dizains nodrošina ātrus uzbrukumus","स्लिक डिज़ाइन से तेज़ हमले करने में मदद मिलती है","Η κομψή σχεδίαση επιτρέπει γρήγορες επιθέσεις","Design ágil permite ataques rápidos"
"MakeshiftArmor","Makeshift Armor","Armatura Improvvisata","Prowizoryczna Zbroja","Armadura Improvisada","Improvisierte Rüstung","Armadura Improvisada","Armure de fortune","間に合わせの鎧","Импровизированная броня","Geçici Zırh","درع مؤقت","Improvizovaná Brnění","เกราะที่ทำขึ้นเอง","Baju Zirah Darurat","Geïmproviseerde Pantser","Giáp Tạm Thời","임시 갑옷","临时盔甲","臨時盔甲","Laikina Šarvai","Імпровізована Броня","Pašdarināts Bruņas","अस्थायी कवच","Πρόχειρη Πανοπλία","Armadura improvisada"
"MakeshiftArmor_Description","Blocks a single attack before breaking","Blocca un singolo attacco prima di rompersi","Zablokuje jeden atak przed zniszczeniem","Bloquea un solo ataque antes de romperse","Blockiert einen einzelnen Angriff, bevor sie zerbricht","Bloqueia um único ataque antes de se quebrar","Bloque un seul attaque avant de se briser","一度の攻撃を防いでから壊れる","Блокирует одну атаку, прежде чем сломаться","Tek bir saldırıyı engeller ve sonra kırılır","يصد هجومًا واحدًا قبل أن ينكسر","Zablokuje jeden útok před tím, než se rozbije","กันการโจมตีครั้งเดียวก่อนที่จะแตก","Memblokir satu serangan sebelum pecah","Blokkeert één aanval voordat het breekt","Chặn một cuộc tấn công trước khi vỡ","한 번의 공격을 막은 후에 부서짐","挡住一次攻击后就会破裂","擋住一次攻擊後就會破裂","Apgina nuo vienos atakos prieš sulūžtant","Блокує одну атаку перед тим, як зламатися","Aizsargā no vienas uzbrukuma reizes pirms saplīst","एक हमले को रोकता है उसके टूटने से पहले","Μπλοκάρει μια επίθεση πριν σπάσει","Bloqueia um único ataque antes de quebrar"
"MakeshiftTrap","Makeshift Trap","Trappola Improvvisata","Prowizoryczna Pułapka","Trampa Improvisada","Improvisierte Falle","Armadilha Improvisada","Piège de fortune","即席の罠","Импровизированная ловушка","Geçici Tuzak","فخ مؤقت","Improvizovaná past","กับดักที่ทำขึ้นเอง","Perangkap Darurat","Geïmproviseerde Val","Bẫy Tạm Thời","임시 덫","临时陷阱","臨時陷阱","Laikina Spąstai","Імпровізована Пастка","Pašdarināta Slazds","अस्थायी जाल","Πρόχειρη Παγίδα","Armadilha improvisada"
"MakeshiftTrap_Description","Traitor only item - Immobilizes and deals damage","Articolo solo per traditori - Immobilizza e infligge danni","Przedmiot tylko dla zdrajcy - Unieruchamia i zadaje obrażenia","Artículo solo para traidores - Inmoviliza y causa daño","Nur für Verräter - Immobilisiert und fügt Schaden zu","Item exclusivo para traidores - Imobiliza e causa dano","Objet réservé aux traîtres - Immobilise et inflige des dégâts","裏切り者のみのアイテム - 固定してダメージを与える","Предмет только для предателя - Обездвиживает и наносит урон","Hainler için özel eşya - Hareketsizleştirir ve hasar verir","عنصر خاص بالخونة - يُشل الحركة ويُحدث ضررًا","Předmět pouze pro zrádce - Imobilizuje a způsobuje poškození","รายการสำหรับผู้ทรยศเท่านั้น - ทำให้ไม่สามารถเคลื่อนไหวและสร้างความเสียหาย","Item khusus pengkhianat - Membuat tidak bisa bergerak dan memberikan kerusakan","Alleen voor verraders - Immobiliseert en brengt schade toe","Chỉ dành cho kẻ phản bội - Làm bất động và gây sát thương","배신자만의 아이템 - 고정시키고 피해를 줌","仅限叛徒使用 - 使目标无法移动并造成伤害","僅限叛徒使用 - 使目標無法移動並造成傷害","Tik išdavikams - Imobilizuoja ir pridaro žalos","Тільки для зрадників - Іммобілізує та завдає шкоди","Vienīgi nodevējiem - Immobilizē un nodara kaitējumu","केवल विश्वासघातियों के लिए - अस्थायी रूप से रोकता है और क्षति पहुँचाता है","Μόνο για προδότες - Ακινητοποιεί και προκαλεί ζημιά","Item exclusivo para traidores - Imobiliza e causa dano"
"PoisonTrap","Poison Trap","Trappola Velenosa","Pułapka Trująca","Trampa Venenosa","Giftfalle","Armadilha Venenosa","Piège Empoisonné","毒の罠","Ядовитая Ловушка","Zehir Tuzağı","فخ السم","Jedovatá Past","กับดักพิษ","Perangkap Racun","Gifval","Bẫy Độc","독의 덫","毒陷阱","毒陷阱","Nuodinga Spąstai","Отруйна Пастка","Indīgā Slazds","विषैला जाल","Δηλητηριώδης Παγίδα","Armadilha de Veneno"
"PoisonTrap_Description","Traitor only item - Injects poison","Oggetto esclusivo per il traditore - Inietta veleno","Przedmiot tylko dla zdrajcy - Wstrzykuje truciznę","Artículo solo para traidores - Inyecta veneno","Nur für Verräter - Spritzt Gift","Item exclusivo para traidores - Injeta veneno","Objet réservé aux traîtres - Injecte du poison","裏切り者のみのアイテム - 毒を注入する","Предмет только для предателя - Вводит яд","Hainler için özel eşya - Zehir enjekte eder","عنصر خاص بالخونة - يحقن السم","Předmět pouze pro zrádce - Injektuje jed","รายการสำหรับผู้ทรยศเท่านั้น - ฉีดพิษ","Item khusus pengkhianat - Menyuntikkan racun","Alleen voor verraders - Injecteert gif","Chỉ dành cho kẻ phản bội - Tiêm chất độc","배신자만의 아이템 - 독을 주입함","仅限叛徒使用 - 注射毒药","僅限叛徒使用 - 注射毒藥","Tik išdavikams - Įleidžia nuodų","Тільки для зрадників - Вводить отруту","Vienīgi nodevējiem - Injicē indi","केवल विश्वासघातियों के लिए - विष इंजेक्ट करता है","Μόνο για προδότες - Ενέσεις δηλητηρίου","Item exclusivo para traidores - Injeta veneno"
"Purchase","Purchase","Acquista","Kup","Compra","Kaufen","Comprar","Acheter","購入する","Покупать","Satın al","شراء","Nakupovat","ซื้อ","Membeli","Kopen","Mua","구매","购买","購買","Pirkti","Купувати","Pirkt","खरीदना","Αγορά","Comprar"
"Revolver_Description","Basic firearm","Arma da fuoco di base","Podstawowa broń palna","Arma de fuego básica","Grundlegende Schusswaffe","Arma de fogo básica","Arme à feu de base","基本的な火器","Основное огнестрельное оружие","Temel ateşli silah","سلاح ناري أساسي","Základní střelná zbraň","อาวุธปืนพื้นฐาน","Senjata api dasar","Basis vuurwapen","Súng cơ bản","기본 총기","基本枪械","基本槍械","Pagrindinis šaunamasis ginklas","Основна вогнепальна зброя","Pamata šaujamais ierocis","मूल आग्नेयास्त्र","Βασικό πυροβόλο όπλο","Arma de fogo básica"
"SmokeGrenade","Smoke Grenade","Granata fumogena","Granat dymny","Granada de humo","Rauchgranate","Granada de fumaça","Grenade fumigène","煙幕手榴弾","Дымовая граната","Duman Bombası","قنبلة دخانية","Dýmový granát","ระเบิดควัน","Granat Asap","Rookgranaat","Lựu đạn khói","연막 수류탄","烟雾弹","煙霧彈","Dūmų granata","Димова граната","Dūmu granāta","धुआं ग्रेनेड","Καπνογόνο","Granada de fumaça"
"SmokeGrenade_Description","Traitor only item - Disrupts vision","Articolo solo per il traditore - Disturba la visibilità","Przedmiot tylko dla zdrajcy - Zakłóca widoczność","Artículo solo para traidores - Perturba la visión","Nur für Verräter - Stört die Sicht","Item exclusivo para traidores - Interfere na visão","Objet réservé aux traîtres - Perturbe la vision","裏切り者のみのアイテム - 視界を妨げる","Предмет только для предателя - Нарушает видимость","Hainler için özel eşya - Görüşü bozar","عنصر خاص بالخونة - يُعيق الرؤية","Předmět pouze pro zrádce - Ruší vidění","รายการสำหรับผู้ทรยศเท่านั้น - ขัดขวางการมองเห็น","Item khusus pengkhianat - Mengganggu visi","Alleen voor verraders - Verstoort het zicht","Chỉ dành cho kẻ phản bội - Gây nhiễu tầm nhìn","배신자만의 아이템 - 시야를 방해함","仅限叛徒使用 - 干扰视线","僅限叛徒使用 - 干擾視線","Tik išdavikams - Trikdo matymą","Тільки для зрадників - Порушує видимість","Vienīgi nodevējiem - Traucē redzamību","केवल विश्वासघातियों के लिए - दृष्टि बाधित करता है","Μόνο για προδότες - Διαταράσσει την όραση","Item exclusivo para traidores - Interfere na visão"
"Sniper_Description","Bigger is always better","Più grande è sempre meglio","Im większy, tym lepszy","Más grande siempre es mejor","Größer ist immer besser","Quanto maior, melhor","Plus c'est grand, mieux c'est","大きければ大きいほど良い","Чем больше, тем лучше","Daha büyük her zaman daha iyidir","الأكبر هو الأفضل دائمًا","Větší je vždy lepší","ยิ่งใหญ่ยิ่งดี","Semakin besar, semakin baik","Hoe groter, hoe beter","Càng lớn càng tốt","더 크면 항상 더 좋다","越大总是越好","越大總是越好","Kuo didesnis, tuo geriau","Чим більший, тим кращий","Jo lielāks, jo labāks","बड़ा हमेशा बेहतर होता है","Όσο πιο μεγάλο, τόσο καλύτερο","Quanto maior, melhor"
"Spade_Description","Used to dig things up. Maybe there's a hidden treasure somewhere?","Usata per scavare. Forse c'è un tesoro nascosto da qualche parte?","Używana do kopania. Może gdzieś jest ukryty skarb?","Utilizada para excavar. ¿Tal vez haya un tesoro escondido en alguna parte?","Wird zum Graben verwendet. Vielleicht gibt es irgendwo einen verborgenen Schatz?","Usada para cavar. Talvez haja um tesouro escondido em algum lugar?","Utilisée pour creuser. Peut-être y a-t-il un trésor caché quelque part ?","掘り起こすために使います。どこかに隠された宝があるかもしれませんか？","Используется для копания. Возможно, где-то есть скрытый клад?","Kazmak için kullanılır. Belki bir yerde gizli bir hazine vardır?","يُستخدم للحفر. ربما يوجد كنز مخبأ في مكان ما؟","Používá se k vykopávání. Možná je někde skrytý poklad?","ใช้สำหรับขุดขึ้นมา อาจจะมีสมบัติที่ซ่อนอยู่ที่ไหนสักแห่ง?","Digunakan untuk menggali. Mungkin ada harta karun tersembunyi di suatu tempat?","Gebruikt om dingen op te graven. Misschien is er ergens een verborgen schat?","Dùng để đào bới. Có thể có một kho báu ẩn giấu ở đâu đó?","물건을 파내는 데 사용됩니다. 어딘가에 숨겨진 보물이 있을지도 모릅니다?","用来挖掘东西。也许某处有藏着的宝藏？","用來挖掘東西。也許某處有藏著的寶藏？","Naudojama kasimui. Gal kur yra paslėptas lobis?","Використовується для копання. Можливо, десь є прихований скарб?","Izmanto, lai izrakt. Varbūt kaut kur paslēpta dārglieta?","खोदने के लिए इस्तेमाल किया जाता है। शायद कहीं छिपा हुआ खजाना हो?","Χρησιμοποιείται για σκάψιμο. Ίσως υπάρχει κάπου θαμμένος θησαυρός;","Usada para cavar. Talvez haja um tesouro escondido em algum lugar?"
"Spear_Description","Stab them with the pointy end","Pugnala con l'estremità appuntita","Dźgnij ich ostrym końcem","Apúñalos con el extremo puntiagudo","Stich sie mit dem spitzen Ende","Fura-os com a ponta","Poignardez-les avec l'extrémité pointue","先のとがった端で突き刺せ","Ударь их острым концом","Uçlu kısmıyla onları sapla","اطعنهم بالطرف الحاد","Bodni je špičatým koncem","แทงพวกเขาด้วยปลายแหลม","Tusuk mereka dengan ujung yang runcing","Steek ze met het puntige einde","Đâm họ bằng phần nhọn","뾰족한 끝으로 찌르세요","用尖端刺他们","用尖端刺他們","Dūri juos smailejimo galu","Встроми їм гострий кінець","Dūri viņus ar aso galu","नुकीले सिरे से उन्हें भोंक दो","Τρύπα τους με το αιχμηρό άκρο","Fura-os com a ponta"
"TonicOfAttunement","Tonic of Attunement","","","","","","","","","","","","","","","","","","","","","","","",""
"TonicOfAttunement_Description","Drinking this potion will render you immune to the next assassination attempt","","","","","","","","","","","","","","","","","","","","","","","",""
"TruthSerum","Truth Serum","","","","","","","","","","","","","","","","","","","","","","","",""
"TruthSerum_Description","Inject a bunny to make him reveal his true identity","","","","","","","","","","","","","","","","","","","","","","","",""
"Axe","Axe","Ascia","Siekiera","Hacha","Axt","Machado","Hache","斧","Топор","Balta","فأس","Sekera","ขวาน","Kapak","Bijl","Rìu","도끼","斧头","斧頭","Kirvis","Сокира","Cirvis","कुल्हाड़ी","Τσεκούρι","Machado"
"Revolver","Revolver","Rivoltella","Rewolwer","Revólver","Revolver","Revólver","Revolver","リボルバー","Револьвер","Revolver","مسدس","Revolver","รีวอลเวอร์","Revolver","Revolver","Revolver","리볼버","左轮手枪","左輪手槍","Revolveris","Револьвер","Revolveris","रिवॉल्वर","Ρεβόλβερ","Revólver"
"Sniper","Sniper rifle","Fucile da cecchino","Karabin snajperski","Rifle de francotirador","Scharfschützengewehr","Rifle de franco-atirador","Fusil de sniper","スナイパーライフル","Снайперская винтовка","Keskin nişancı tüfeği","بندقية قناص","Odstřelovací puška","ปืนไรเฟิลสไนเปอร์","Senapan penembak jitu","Scherpschuttersgeweer","Súng bắn tỉa","저격 소총","狙击步枪","狙擊步槍","Snaiperio šautuvas","Снайперська гвинтівка","Snaipera šautene","स्नाइपर राइफल","Τουφέκι σνάιπερ","Rifle de franco-atirador"
"Spear","Spear","Lancia","Włócznia","Lanza","Speer","Lança","Lance","槍","Копье","Mızrak","رمح","Oštěp","หอก","Tombak","Speer","Giáo","창","矛","矛","Ietis","Спис","Šķēps","भाला","Δόρυ","Lança"
